NAME,STATUS,ISIN CODE,CODE,TRADING COUNTER NAME
EXIMBKKORCNY300M3.35%N171128,,XS1142955589,21YB,ExImKor n3.35%171128S
EXIMBKKORCNY340M3.5175%N260228,,XS2592785385,ZFYB,ExImKor n3.5175%260228S
EX-IMBKKOREUR500M3.625%N270918,,XS2687921473,UIGB,ExImKor n3.625%270918S
EXIMBKKOREUR500M3.625%N300607A,,XS2629204020,DWPB,ExImBkKor n3.625%300607A
EXIMBKKOREUR500M3.625%N300607R,,XS2629026845,ZDYB,ExImBkKor n3.625%300607R
EXIMBKKOREUR950M1.375%N251124A,,XS2484201624,JRXB,ExImKor n1.375%251124A
EXIMBKKOREUR950M1.375%N251124R,,XS2484106716,TJSB,ExImKor n1.375%251124R
EX-IMBKKORUS$1.25B4.875%N300114,,US302154EK14,ETUB,ExImKor n4.875%300114S
EXIMBKKORUS$1B1.75%N281019A,,US30215EBE68,X6KB,ExImBkKor n1.75%281019A
EXIMBKKORUS$1B1.75%N281019R,,US30217G2C30,LNFB,ExImBkKor n1.75%281019R
EX-IMBKKORUS$1B3.75%N300922,,US302154EM79,QLKB,ExImKor n3.75%300922S
EX-IMBKKORUS$1BM5.125%N280918,,US302154DY27,57JB,ExImKor n5.125%280918S
EX-IMBKKORUS$300M1.375%N310209,,US302154DG11,RETB,ExImKor n1.375%310209S
EXIMBKKORUS$30M3.044%N300306,,XS1198838572,25MB,ExImKorn3.044%300306S
EX-IMBKKORUS$400M4.625%N340111,,US302154EC97,IHWB,ExImKor n4.625%340111S
EX-IMBKKORUS$500M0.375%N240209,,US302154DE62,9TUB,ExImKor n0.375%240209S
EX-IMBKKORUS$500M4.125%N271017,,US302154EG02,EPIB,ExImKor n4.125%271017S
EXIMBKKORUS$500M4.625%N330607A,,US30215EBH99,WQDB,ExImBkKor n4.625%330607A
EXIMBKKORUS$500M4.625%N330607R,,US30217G2E95,ZHWB,ExImBkKor n4.625%330607R
EX-IMBKKORUS$500M5.125%N330918,,US302154DZ91,ESHB,ExImKor n5.125%330918S
EX-IMBKKORUS$500M5.25%N350114,,US302154EL96,XJZB,ExImKor n5.25%350114S
EX-IMBKKORUS$500M5.375%N250918,,US302154DX44,1Q7B,ExImKor n5.375%250918S
EXIMBKKORUS$50M3.5%N291106,,XS1133997160,20OB,ExImKor n3.5%291106S
EX-IMBKKORUS$600M2.625%N201230,,US302154BV06,32AB,ExImKor n2.625%201230S
EX-IMBKKORUS$700M0.625%N260209,,US302154DF38,VZXB,ExImKor n0.625%260209S
EX-IMBKKORUS$750M0.625%N240629,,US302154DH93,FBDB,ExImBkKor n0.625%240629S
EX-IMBKKORUS$750M1.125%N261229,,US302154DJ59,R97B,ExImBkKor n1.125%261229S
EX-IMBKKORUS$800M4.5%N290111,,US302154EB15,53CB,ExImKor n4.5%290111S
EX-IMBKKORUS$800M4.625%N270111,,US302154EA32,NWEB,ExImKor n4.625%270111S
EX-IMBKKORUS$850M4.625%N280114,,US302154EJ41,GVXB,ExImKor n4.625%280114S
EX-IMBKKORUSD200M2.447%N340210,,XS2443521203,HFLB,ExImKor n2.447%340210S
EXIMBKKORUSD50M3.35%N261128,,XS1144358998,22EB,ExImKor n3.35%261128S
EX-IMBKKUSD50M3.409%291024A,,XS1127617303,19GB,ExImKor n3.409%291024SA
EX-IMBKKUSD50M3.409%291024B,,XS1127471255,19FB,ExImKor n3.409%291024SB
EXIMKORUS$50M3.5%N291126,,XS1143051032,22CB,ExImKor n3.5%291126S
EXP-IMBKIND US$1B2.25%N310113A,,US30216JAF21,55VB,ExImInd n2.25%310113A
EXP-IMBKIND US$1B2.25%N310113R,,US30216KAF93,VI1B,ExImInd n2.25%310113R
EXP-IMBKIND US$1B3.25%N300115A,,US30216JAE55,FCBB,ExImInd n3.25%300115A
EXP-IMBKIND US$1B3.25%N300115R,,US30216KAE29,9OOB,ExImInd n3.25%300115R
EXP-IMBKIND US$1B5.5%N330118A,,US30216JAG04,WIYB,ExImInd n5.5%330118A
EXP-IMBKIND US$1B5.5%N330118R,,US30216KAG76,KPRB,ExImInd n5.5%330118R
EXP-IMBKIND US$1B5.5%N350113A,,US30218VAA44,GDWB,ExImInd n5.5%350113A
EXP-IMBKIND US$1B5.5%N350113R,,USY2387VAA18,X3WB,ExImInd n5.5%350113R
EXP-IMBKINDUS$500M2.75%200401,,XS1209864229,27MB,ExImInd n2.75%200401S
EXP-IMBKKOR US$50M2.6%N260225A,,XS1371440188,3S2B,ExImKor n2.6%260225A S
EXP-IMBKKORUSD50M3.475%320217A,,XS1567470684,6C5B,ExImKor n3.475%320217A S
EXP-IMBKKORUSD50M3.475%320217B,,XS1567471229,6C6B,ExImKor n3.475%320217B S
EXPIMBKOR MXN1B7.93%N260730,,MXCDKE050001,5W7B,ExImKor n7.93%260730S
EXPIMBKORUS$50M3.5%N291119,,XS1139815713,21HB,ExImKor n3.5%291119S
EXPIMBKORUS$50M3.53%N291120,,XS1140518025,21IB,ExImKor n3.53%291120S
EXPIMBKTHAIUS$100F261115,,XS2719152410,KSWB,ExImThai f261115S
EXPIMBKTHAIUS$100M2.599%310312,,XS2314663472,FZXB,ExImThai n2.599%310312S
EXPIMBKTHAIUS$350M1.457%251015,,XS2242355852,Q41B,ExImThai n1.457%251015S
EXPIMBKTHAIUS$350M3.902%270602,,XS2486096055,UJSB,ExImThai n3.902%270602S
EXPIMBKTHAIUS$400M5.354%290516,,XS2819738431,YQMB,ExImThai n5.354%290516S
EXPIMBKTHAIUS$50M2.607%310312,,XS2314662664,ZDTB,ExImThai n2.607%310312S
EXP-IMP BK KOR USD250M F170814,,US30215EAU10,2Z0B,ExImKor f170814S
EXP-IMP BK KOR USD500M F190526,,US302154CA59,4D0B,ExImKor f190526 S
EXP-IMP BK KORU$1B4.375%210915,,US302154BA68,4ZSB,ExImKor4.375%210915S
EXP-IMP BK KORUS$1B5%220411,,US302154BC25,7WDB,ExImKor5%220411S
EXP-IMP BK KORYEN5B2.5%191227,,XS0474760625,4BZB,ExImKor n2.5%191227S
EXP-IMP BK THAI US$300MF231120,,XS1910821682,LDCB,ExImThai f231120S
EXP-IMP BKKOR CHF45M2.1%231230,,XS0960961190,2ZSB,ExImKor n2.1%231230S
EXP-IMP BKKOR CHF5M2.1%231230,,XS0960949229,2ZTB,ExImKorn2.1%231230S
EXP-IMPBK KOR U$50M3.23%261030,,XS1130481150,19PB,ExImKor n3.23%261030S
EXP-IMPBKINDUS$1B3.875%280201A,,US30216JAC99,8HCB,ExImIndn3.875%280201A
EXP-IMPBKINDUS$1B3.875%280201R,,US30216KAC62,8HDB,ExImIndn3.875%280201R
EXP-IMPBKK AUD142.9M2.51%N491206,,XS2089950732,ZHVB,ExImKor n2.51%491206S
EXP-IMPBKK CNY300M4.50%N231106,,XS0987146262,2O2B,ExImKor n4.50%N231106S
EXP-IMPBKK IDR705B6.7%N241202A,,US30215EAX58,TCMB,ExImKor n6.7%241202A
EXP-IMPBKK US$1B2.25%200121,,US302154BS76,23MB,ExImKor n2.25%200121S
EXP-IMPBKK US$500M2.375%190812,,US302154BM07,14JB,ExImKor n2.375%190812S
EXP-IMPBKK US$500M3.25%260812,,US302154BN89,14IB,ExImKor n3.25%260812S
EXP-IMPBKK US$50M3.402%291029,,XS1130088658,19NB,ExImKor n3.402%291029S
EXP-IMPBKK USD30M4%260213,,XS1032527415,2Y6B,ExImKor n4%260213S
EXP-IMPBKK USD35M3.786%231112,,XS0991259184,2L4B,ExImKor n3.786%231112S
EXP-IMPBKK USD50M4.14%260128,,XS1023862219,2X8B,ExImKor n4.14%260128S
EXP-IMPBKK USD50M4.14%260203,,XS1023866046,2X9B,ExImKor n4.14%260203S
EXP-IMPBKK USD750M4%240114,,US302154BK41,2S8B,ExImKor n4%240114S
EXP-IMPBKK ZAR600M8.2%N300319,,XS2134490791,WU0B,ExImKor n8.2%300319S
EXP-IMPBKK ZAR600M8.43%N261127,,XS2081570355,UGCB,ExImKor n8.43%261127S
EXP-IMPBKK ZAR715M8.05%N310928,,XS2386977354,1V6B,ExImKor n8.05%310928S
EXP-IMPBKKOR U$30M3.463%291031,,XS1131430966,19UB,ExImKor n3.463%291031S
EXPIMPBKKOR US$500M1.75%180227,,US302154BG39,2QNB,ExImKor1.75%180227S
EXP-IMPBKKORUS$50M3.02%300304,,XS1197833566,25IB,ExImKorn3.02%300304S
EXP-IMPBKKUS$1.25B5.125%200629,,US302154AW97,4GKB,ExImKor5.125%200629S
EXP-IMPBKKUS$1B4%210129,,US302154AX70,4MIB,ExImKor n4%210129S
EXP-IMPBKMUS$500M2.875%171214,,XS0793277277,2DVB,ExImMal2.875%171214S
EXP-IMPBKMUSD350M1.831%N261126,,XS2413680336,5C2B,ExImMal n1.831%261126S
EZION S$30.5M0.25%B271120,,SG7OG2000009,8QXB,Ezion b0.25%271120S
EZION S$333M0.25%CB231120,,SG38F9000006,8QWB,Ezion cb0.25%231120S
EZION S$92M0.25%B241120,,SG7OG1000000,8QVB,Ezion b0.25%241120S
EZIONS$119.5M 0.25%CPS,,SG6UH9000009,20ZB,Ezion n0.25%CPS
EZRA HOLDINGS LIMITED,,SG1O34912152,5DN,Ezra
EZRA S$150M 4.875%N180424,,SG55F3991618,2TQB,Ezra n4.875%180424 S
F J BENJAMIN HOLDINGS LTD,,SG1D58018368,F10,FJ Benjamin
F&N S$75M 3.56%N260522,,SGXF80205291,VGSB,F&N n3.56%260522S
F&N TREA S$100M 2%N260616,,SGXF22354751,5ZVB,F&N Trea n2%260616S
F&N TREA S$100M 3.8%N270421,,SG7AH2000006,6T2B,F&N Trea n3.8%270421S
FALCON ENERGYS$50M4.5%N200919,,SG6SJ3000005,16NB,Falcon n4.5%200919 S
FANTASIA US$130M15%N211218,,XS1924249680,DRDB,Fantasia n15%211218S
FANTASIA US$150M6.95%N211217,,XS2275739378,RFTB,Fantasia n6.95%211217S
FANTASIA US$200M11.75%N220417,,XS1982124239,RVUB,Fantasia n11.75%220417S
FANTASIA US$200M12.25%N221018,,XS2030329358,DEYB,Fantasia n12.25%221018S
FANTASIA US$200M14.5%N240625,,XS2355049797,FTXB,Fantasia n14.5%240625S
FANTASIA US$200M9.875%N231019,,XS2245488262,8XJB,Fantasia n9.875%231019S
FANTASIA US$250M 10.75%N200122,,XS0876181537,2NVB,Fantasia10.75%200122S
FANTASIA US$250M10.875%N240302,,XS2306557401,Q82B,Fantasia n10.875%240302S
FANTASIA US$300M11.875%N230601,,XS2181037230,RVFB,Fantasia n11.875%230601S
FANTASIA US$300M7.95%N220705,,XS1640676885,76JB,Fantasia n7.95%220705S
FANTASIA US$350M9.25%N230728,,XS2210790783,QNNB,Fantasia n9.25%230728S
FANTASIA US$400M7.375%N211004,,XS1498418224,4X3B,Fantasia n7.375%211004S
FANTASIA US$450M10.875%N230109,,XS2100005771,MDAB,Fantasia n10.875%230109S
FAR EAST GROUP LIMITED,,SG2D48972988,5TJ,Far East
FAR EAST HOSPITALITY TRUST,,SG2F08984575,Q5T,Far East HTrust
FAR EAST ORCHARD LIMITED,,SG2P56002559,O10,Far East Orchard
FARSAIL HK$2.418B7%EB261124,,XS2406577911,NFRB,Farsail eb7%261124S
FAVORSEA US$150M11.75%190204A,,US312086AA95,2X6B,FavorSea 11.75%190204A
FAVORSEA US$150M11.75%190204R,,USG33353AA46,2X7B,FavorSea 11.75%190204R
FCT MTN S$80M3.3%N320303,,SGXF28840902,YKKB,FCT MTN n3.3%320303S
FEDERAL INT(2000) LTD,,SG1BF9000004,BDU,Federal Int
FENIXPOWEUS$340M4.317%N270920A,,US31446YAB83,80CB,FenixPowern4.317%270920A
